Can I Kick It?,72.0,251573.0,0.173,0.848,0.666,7.0E-4,0.0,0.129,-6.547,1,0.274,4,NaN
No Diggity,81.0,304600.0,0.303,0.868,0.646,0.0,1.0,0.284,-4.674,0,0.288,4,0.67
Better Together,32.0,200706.0,0.649,0.79,0.3,0.0,5.0,0.14,-10.597,1,0.0622,4,0.49
Club Controller,43.0,361750.0,0.0062,0.822,0.867,0.217,1.0,0.0431,-8.079,1,0.0386,4,0.76
C'mon Everybody,11.0,117666.0,0.246,0.622,0.645,1.0E-4,4.0,0.0894,-11.847,1,0.0567,4,0.863
Piece of My Heart,56.0,157266.0,0.139,0.467,0.783,0.0214,8.0,0.08,-5.207,1,0.0528,4,0.591
Fly Away,71.0,221332.0,0.018,0.586,0.872,0.0,7.0,0.622,-5.066,1,0.0483,4,0.729
Get You (feat. Kali Uchis),70.0,277297.0,0.426,0.659,0.295,1.0E-4,11.0,0.0795,-8.528,0,0.0322,4,0.36
Sea Calls Me Home,45.0,187360.0,0.126,0.319,0.544,0.0,11.0,0.261,-6.801,0,0.0364,4,0.272
Jilted John - Single Version,41.0,175400.0,0.0363,0.351,0.883,0.0,0.0,0.499,-6.952,1,0.0562,4,0.88
Heaven's Gate,58.0,189365.0,0.849,0.667,0.318,0.0081,1.0,0.111,-12.666,0,0.0375,4,0.45
Old Friend,69.0,148200.0,0.811,0.412,0.241,0.392,3.0,0.114,-13.477,1,0.0295,4,0.374
Wolf,15.0,223200.0,0.228,0.582,0.563,3.0E-4,1.0,0.0714,-9.314,1,0.0388,4,0.31
"Vagabundo, Borracho y Loco",50.0,269490.0,0.732,0.739,0.473,1.0E-4,6.0,0.0363,-7.873,0,0.0512,4,0.964
Waitin' on a Blessin',37.0,154666.0,0.799,0.798,0.584,0.0,0.0,0.108,-9.571,1,0.0862,4,0.315
Night,38.0,180000.0,0.0051,0.865,0.571,0.0085,1.0,0.0695,-8.901,1,0.0841,4,0.644
Kiliki Taka Ti,47.0,400266.0,0.505,0.6,0.872,0.0015,1.0,0.168,-4.166,1,0.141,4,0.823
Chucuchá,43.0,206959.0,0.323,0.775,0.868,0.0054,9.0,0.107,-5.665,0,0.04,4,0.975
Uptight (Everything's Alright),62.0,172013.0,0.0301,0.61,0.65,0.0,5.0,0.404,-9.91,0,0.0337,4,0.823
Fryderyk,58.0,146000.0,0.984,0.508,0.134,0.96,1.0,0.0952,-21.304,1,0.0328,4,0.36
Pretender (feat. Lil Yachty & AJR),72.0,188737.0,0.0248,0.637,0.778,0.0,5.0,0.228,-3.642,0,0.0706,4,0.286
Don't Let Me Down,84.0,208373.0,0.157,0.532,0.869,0.0051,11.0,0.136,-5.094,1,0.172,4,0.422
I'm Still Here,75.0,241910.0,0.007,0.437,0.719,0.0,6.0,0.0765,-4.569,0,0.0376,4,0.284
The Rover,63.0,217693.0,0.0,0.189,0.893,0.539,7.0,0.183,-3.107,1,0.0445,4,0.599
Kaw-Liga - Single Version,39.0,153693.0,0.817,0.636,0.382,0.0,11.0,0.234,-7.649,0,0.0329,4,0.69
A Satisfied Mind,28.0,166040.0,0.945,0.732,0.243,0.0,4.0,0.0955,-7.638,1,0.0299,3,0.432
If You've Got the Money I've Got the Time - 78rpm Version,37.0,179306.0,0.83,0.545,0.392,1.0E-4,2.0,0.0903,-10.091,1,0.0481,4,0.951
Blue Kentucky Girl,44.0,160626.0,0.71,0.714,0.346,0.0023,11.0,0.0998,-11.666,1,0.0371,4,0.57
Don't the Girls All Get Prettier at Closing Time,35.0,177266.0,0.605,0.657,0.808,0.0,0.0,0.291,-8.564,1,0.0445,4,0.926
It Ain't Nothin',40.0,244066.0,0.548,0.79,0.455,1.0E-4,9.0,0.108,-11.039,1,0.0536,4,0.405
Deep Green,49.0,215729.0,0.433,0.52,0.583,0.0198,9.0,0.197,-10.085,0,0.0311,4,0.236
Y.M.C.A. - Single Version,12.0,225133.0,0.105,0.751,0.876,0.0,6.0,0.182,-7.957,1,0.0702,4,NaN
Uptight (Everything's Alright),48.0,172626.0,0.0838,0.589,0.721,0.0,5.0,0.127,-5.8,0,0.0287,4,0.843
Blessings - Extended Version,58.0,301960.0,0.285,0.751,0.6,0.0,10.0,0.128,-8.11,0,0.395,4,0.137
Tror Du Att Han Bryr Sig,57.0,173333.0,0.0568,0.862,0.486,0.0,3.0,0.202,-7.185,0,0.0578,4,0.876
Baby,62.0,207208.0,0.201,0.818,0.858,0.0,11.0,0.272,-3.939,0,0.0833,4,0.774
Mr La Di Da Di,52.0,200214.0,0.126,0.806,0.734,0.0,4.0,0.909,-7.763,0,0.276,4,0.642
I'm Good,65.0,217136.0,0.0236,0.738,0.696,1.0E-4,1.0,0.338,-3.59,1,0.0305,4,0.892
Oil Gang,16.0,274290.0,0.0346,0.799,0.619,0.769,2.0,0.0908,-5.324,1,0.182,4,0.341
American Dream,49.0,227946.0,0.18,0.705,0.504,0.0039,10.0,0.126,-11.33,1,0.0323,4,0.177
Switch,9.0,189540.0,0.0094,0.778,0.667,0.0,6.0,0.0581,-6.056,1,0.13,4,0.764
Alarm,70.0,205593.0,0.0812,0.756,0.589,0.0,0.0,0.176,-5.093,1,0.232,4,0.811
The Breaks,37.0,244213.0,0.0518,0.909,0.718,0.0,11.0,0.299,-7.399,0,0.128,4,0.895
Ambitionz Az A Ridah,80.0,278386.0,0.0025,0.801,0.908,7.0E-4,2.0,0.0698,-6.554,1,0.221,4,0.805
Facts Of Love,41.0,271240.0,0.0642,0.752,0.751,0.0014,8.0,0.278,-6.281,0,0.043,4,0.963
